Tên doanh nghiệp,Tên giao dịch,Mã số thuế,Địa chỉ,Tình trạng hoạt động,Ngày cấp giấy phép,Ngành nghề kinh doanh,Link
CÔNG TY CỔ PHẦN DỊCH VỤ VÀ SẢN XUẤT NGUYỄN ĐỨC MINH,,111138123,"Khu lò gạch số 2, Thôn Phúc Am, Xã Hồng Vân, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),23/07/2025,Sản xuất cà phê,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dich-Vu-Va-San-Xuat-Nguyen-Duc-Minh-38123.html
CÔNG TY TNHH THƯƠNG MẠI AN HUYỀN,,111137313,"Số 300, đường vắng, thôn 7, Xã Dương Hòa, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),23/07/2025,Bán buôn thực phẩm,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-An-Huyen-37313.html
CÔNG TY TNHH THƯƠNG MẠI VÀ VẬN TẢI CHẤT LƯỢNG CAO AN PHÚ,,111137225,"Trại Gần, Thôn 1, Xã Sơn Đồng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),23/07/2025,Vận tải hàng hóa bằng đường bộ,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Van-Tai-Chat-Luong-Cao-An-Phu-37225.html
CÔNG TY TNHH L.C.T,"L.C.T CO.,LTD",111137095,"SỐ171 Đường Giảng Võ, Phường Giảng Võ, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),23/07/2025,"Hoạt động của các phòng khám đa khoa, chuyên khoa và nha khoa",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Lct-37095.html
CÔNG TY TNHH PHÂN PHỐI VÀ ĐẦU TƯ ECOGREEN,"ECOGREENINVESTMENT AND DISTRIBUTION CO., LTD",111137306,"Căn Offícetel A3-2904, Tầng 29,ToàA3, Ecolife Capitol, 58TỐ Hữu, Phường Đại Mỗ, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),23/07/2025,Vận tải hàng hóa bằng đường bộ,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Phan-Phoi-Va-Dau-Tu-Ecogreen-37306.html
CÔNG TY TNHH TRUYỀN THÔNG GIẢI TRÍ ĐA PHƯƠNG TIỆN HYPER,"HYPER MULTIMEDIA CO., LTD",111137377,"SỐ19TỐ Hữu, Phường Đại Mỗ, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),23/07/2025,,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Truyen-Thong-Giai-Tri-Da-Phuong-Tien-Hyper-37377.html
CÔNG TY TNHH GẠO TUẤN PHONG,"TUAN PHONG RICE CO.,LTD",111134432,"Thôn Tăng cấu Hạ, Xã Vật Lại, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/07/2025,"Bán buôn gạo, lúa mỳ, hạt ngũ cốc khác, bột mỳ",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Gao-Tuan-Phong-34432.html
CÔNG TY CỔ PHẦN SYNCFORME,CÔNG TY SYNCFORME,111134457,"Số 9, ngách 89/97 đường Tứ Liên, Phường Hồng Hà, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/07/2025,May trang phục (trừ trang phục từ da lông thú),https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Syncforme-34457.html
CÔNG TY TNHH PCCC PHÚC THUỶ AN,,111134834,"Thôn 4, Xã Phúc Thọ, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/07/2025,Lắp đặt hệ thống xây dựng khác,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-PCCC-Phuc-Thuy-An-34834.html
CÔNG TY TNHH VB DUY KHÁNH,,111134827,"Số nhà 33, ngõ 52 thôn 8, Xã Phúc Thọ, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/07/2025,"Bán buôn vải, hàng may mặc, giày dép",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Vb-Duy-Khanh-34827.html
CÔNG TY TNHH ĐẠI NGỌC AN,,111134471,"Số 3, ngõ 94 đường Tân Xuân, Phường Đông Ngạc, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/07/2025,"Hoạt động sản xuất phim điện ảnh, phim video và chương trình truyền hình",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dai-Ngoc-An-34471.html
